INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-03-21T07:00:00-00:00,2018-03-21T08:00:00-00:00,0,2018-03-21,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21378,ACTUAL,1
2018-03-21T08:00:00-00:00,2018-03-21T09:00:00-00:00,0,2018-03-21,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20652,ACTUAL,1
2018-03-21T09:00:00-00:00,2018-03-21T10:00:00-00:00,0,2018-03-21,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20160,ACTUAL,1
2018-03-21T10:00:00-00:00,2018-03-21T11:00:00-00:00,0,2018-03-21,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19992,ACTUAL,1
2018-03-21T11:00:00-00:00,2018-03-21T12:00:00-00:00,0,2018-03-21,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20409,ACTUAL,1
2018-03-21T12:00:00-00:00,2018-03-21T13:00:00-00:00,0,2018-03-21,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21318,ACTUAL,1
2018-03-21T13:00:00-00:00,2018-03-21T14:00:00-00:00,0,2018-03-21,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23597,ACTUAL,1
2018-03-21T14:00:00-00:00,2018-03-21T15:00:00-00:00,0,2018-03-21,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25182,ACTUAL,1
2018-03-21T15:00:00-00:00,2018-03-21T16:00:00-00:00,0,2018-03-21,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25352,ACTUAL,1
2018-03-21T16:00:00-00:00,2018-03-21T17:00:00-00:00,0,2018-03-21,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25574,ACTUAL,1
2018-03-21T17:00:00-00:00,2018-03-21T18:00:00-00:00,0,2018-03-21,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25860,ACTUAL,1
2018-03-21T18:00:00-00:00,2018-03-21T19:00:00-00:00,0,2018-03-21,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25902,ACTUAL,1
2018-03-21T19:00:00-00:00,2018-03-21T20:00:00-00:00,0,2018-03-21,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25602,ACTUAL,1
