INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2019-01-11T01:00:00-00:00,2019-01-11T02:00:00-00:00,1,2019-01-10,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27418.28,DAM,1
2019-01-11T02:00:00-00:00,2019-01-11T03:00:00-00:00,1,2019-01-10,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28067.93,DAM,1
2019-01-10T13:00:00-00:00,2019-01-10T14:00:00-00:00,1,2019-01-10,6,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21669.58,DAM,1
2019-01-11T07:00:00-00:00,2019-01-11T08:00:00-00:00,1,2019-01-10,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22111.41,DAM,1
2019-01-10T21:00:00-00:00,2019-01-10T22:00:00-00:00,1,2019-01-10,14,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23386.7,DAM,1
2019-01-10T22:00:00-00:00,2019-01-10T23:00:00-00:00,1,2019-01-10,15,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23570.35,DAM,1
2019-01-10T15:00:00-00:00,2019-01-10T16:00:00-00:00,1,2019-01-10,8,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25599.93,DAM,1
2019-01-10T19:00:00-00:00,2019-01-10T20:00:00-00:00,1,2019-01-10,12,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23791.5,DAM,1
2019-01-10T23:00:00-00:00,2019-01-11T00:00:00-00:00,1,2019-01-10,16,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23995.86,DAM,1
2019-01-11T04:00:00-00:00,2019-01-11T05:00:00-00:00,1,2019-01-10,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26779.64,DAM,1
2019-01-11T06:00:00-00:00,2019-01-11T07:00:00-00:00,1,2019-01-10,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23850.48,DAM,1
2019-01-10T18:00:00-00:00,2019-01-10T19:00:00-00:00,1,2019-01-10,11,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24307.28,DAM,1
2019-01-11T00:00:00-00:00,2019-01-11T01:00:00-00:00,1,2019-01-10,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24906.37,DAM,1
2019-01-10T14:00:00-00:00,2019-01-10T15:00:00-00:00,1,2019-01-10,7,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24251.86,DAM,1
2019-01-10T16:00:00-00:00,2019-01-10T17:00:00-00:00,1,2019-01-10,9,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25313.51,DAM,1
2019-01-11T05:00:00-00:00,2019-01-11T06:00:00-00:00,1,2019-01-10,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25594.41,DAM,1
