ISO prediction for CAISO - 2018-05-11 01:00

Date-Time (PPT),SP-15 Wind,SP-15 Solar
2018-05-11 01:00,3037.870,0.000
2018-05-11 02:00,3021.220,0.000
2018-05-11 03:00,2974.460,0.000
2018-05-11 04:00,2896.340,0.000
2018-05-11 05:00,2861.500,0.000
2018-05-11 06:00,2835.130,4.820
2018-05-11 07:00,2781.810,720.690
2018-05-11 08:00,2751.150,3166.500
2018-05-11 09:00,2788.020,5187.610
2018-05-11 10:00,2817.060,6085.080
2018-05-11 11:00,2846.640,6589.980
2018-05-11 12:00,2967.900,6750.400
2018-05-11 13:00,3050.250,6798.950
2018-05-11 14:00,3095.620,6768.600
2018-05-11 15:00,3136.020,6686.560
2018-05-11 16:00,3162.930,6362.340
2018-05-11 17:00,3174.160,5776.880
2018-05-11 18:00,3107.550,4512.730
2018-05-11 19:00,2993.790,2021.050
2018-05-11 20:00,2769.200,199.640
2018-05-11 21:00,2696.340,0.000
2018-05-11 22:00,2638.670,0.000
2018-05-11 23:00,2495.650,0.000
2018-05-12 00:00,2243.940,0.000
2018-05-12 01:00,2243.940,0.000
2018-05-12 02:00,2243.940,0.000
2018-05-12 03:00,2243.940,0.000
2018-05-12 04:00,2243.940,0.000
2018-05-12 05:00,2243.940,0.000
2018-05-12 06:00,2243.940,0.000
2018-05-12 07:00,2243.940,0.000
2018-05-12 08:00,2243.940,0.000
2018-05-12 09:00,2243.940,0.000
2018-05-12 10:00,2243.940,0.000
2018-05-12 11:00,2243.940,0.000
2018-05-12 12:00,2243.940,0.000
2018-05-12 13:00,2243.940,0.000
2018-05-12 14:00,2243.940,0.000
2018-05-12 15:00,2243.940,0.000
2018-05-12 16:00,2243.940,0.000
2018-05-12 17:00,2243.940,0.000
2018-05-12 18:00,2243.940,0.000
2018-05-12 19:00,2243.940,0.000

