OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,LMP_PRC
3/22/2018,12,12,2018-03-22T18:55:00-00:00,2018-03-22T19:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,13.93386
3/22/2018,13,12,2018-03-22T19:55:00-00:00,2018-03-22T20:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-7.61878
3/22/2018,15,12,2018-03-22T21:55:00-00:00,2018-03-22T22:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,10.65879
3/22/2018,16,12,2018-03-22T22:55:00-00:00,2018-03-22T23:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,11.83993
3/22/2018,17,12,2018-03-22T23:55:00-00:00,2018-03-23T00:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,8.94172
3/22/2018,18,12,2018-03-23T00:55:00-00:00,2018-03-23T01:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,17.29905
3/22/2018,19,12,2018-03-23T01:55:00-00:00,2018-03-23T02:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,24.00215
3/22/2018,20,12,2018-03-23T02:55:00-00:00,2018-03-23T03:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,39.82329
3/22/2018,21,12,2018-03-23T03:55:00-00:00,2018-03-23T04:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,18.96378
3/22/2018,22,12,2018-03-23T04:55:00-00:00,2018-03-23T05:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,37.82597
3/22/2018,23,12,2018-03-23T05:55:00-00:00,2018-03-23T06:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,16.76879
3/22/2018,24,12,2018-03-23T06:55:00-00:00,2018-03-23T07:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,18.49536
3/23/2018,1,12,2018-03-23T07:55:00-00:00,2018-03-23T08:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,22.20056
3/23/2018,2,12,2018-03-23T08:55:00-00:00,2018-03-23T09:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,29.14437
3/23/2018,3,12,2018-03-23T09:55:00-00:00,2018-03-23T10:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,20.14554
3/23/2018,4,12,2018-03-23T10:55:00-00:00,2018-03-23T11:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,17.61344
3/23/2018,5,12,2018-03-23T11:55:00-00:00,2018-03-23T12:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,19.33032
3/23/2018,6,12,2018-03-23T12:55:00-00:00,2018-03-23T13:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,19.138
3/23/2018,7,12,2018-03-23T13:55:00-00:00,2018-03-23T14:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,26.59419
3/23/2018,8,12,2018-03-23T14:55:00-00:00,2018-03-23T15:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,15.35898
3/26/2018,10,4,2018-03-26T16:15:00-00:00,2018-03-26T16:20:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-7.16266
3/26/2018,10,12,2018-03-26T16:55:00-00:00,2018-03-26T17:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,0
3/26/2018,11,12,2018-03-26T17:55:00-00:00,2018-03-26T18:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-0.97594
3/26/2018,12,12,2018-03-26T18:55:00-00:00,2018-03-26T19:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,0
3/26/2018,13,12,2018-03-26T19:55:00-00:00,2018-03-26T20:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-14.61452
3/26/2018,14,12,2018-03-26T20:55:00-00:00,2018-03-26T21:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-11.3423
3/26/2018,15,12,2018-03-26T21:55:00-00:00,2018-03-26T22:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-14.21804
3/26/2018,16,12,2018-03-26T22:55:00-00:00,2018-03-26T23:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-15.77378
3/26/2018,17,12,2018-03-26T23:55:00-00:00,2018-03-27T00:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-16.56223
3/26/2018,18,12,2018-03-27T00:55:00-00:00,2018-03-27T01:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,11.63726
3/26/2018,20,1,2018-03-27T02:00:00-00:00,2018-03-27T02:05:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,18.92092
3/26/2018,21,1,2018-03-27T03:00:00-00:00,2018-03-27T03:05:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,20.00946
3/26/2018,21,12,2018-03-27T03:55:00-00:00,2018-03-27T04:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,16.79792
3/26/2018,22,12,2018-03-27T04:55:00-00:00,2018-03-27T05:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,16.85989
3/26/2018,23,12,2018-03-27T05:55:00-00:00,2018-03-27T06:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,13.38438
3/26/2018,24,12,2018-03-27T06:55:00-00:00,2018-03-27T07:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,13.38903
3/27/2018,2,1,2018-03-27T08:00:00-00:00,2018-03-27T08:05:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,15.32099
3/27/2018,2,12,2018-03-27T08:55:00-00:00,2018-03-27T09:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,16.37934
3/27/2018,3,12,2018-03-27T09:55:00-00:00,2018-03-27T10:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,19.98937
3/27/2018,4,12,2018-03-27T10:55:00-00:00,2018-03-27T11:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,24.12315
3/27/2018,5,12,2018-03-27T11:55:00-00:00,2018-03-27T12:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,25.45459
3/27/2018,6,12,2018-03-27T12:55:00-00:00,2018-03-27T13:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,117.0568
3/27/2018,7,12,2018-03-27T13:55:00-00:00,2018-03-27T14:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,29.77991
3/27/2018,8,12,2018-03-27T14:55:00-00:00,2018-03-27T15:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,3.32684
3/27/2018,9,12,2018-03-27T15:55:00-00:00,2018-03-27T16:00:00-00:00,NORTHWND_6_N002,RTM,LMP,LMP_PRC,-14.05256
